,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,12 Aug 13:30,0.0,0.0,1.0,6.0,4.5,10138.0,0.0,0.0,0.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,27.2,12.1,33.0,7.2,0.0,0.0,0.0,8.0,9.0,1.0,0.0,0.0,51.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Burnley
2,18 Aug 15:00,2.0,1.0,0.0,0.0,4.5,20251.0,6396.0,1813.0,4583.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,17.4,10.1,0.0,2.8,0.0,0.0,0.0,8.0,13.0,1.0,0.0,0.0,39.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16.0,Everton
3,25 Aug 15:00,1.0,2.0,1.0,0.0,4.5,20386.0,2745.0,3111.0,-366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,Leicester
4,01 Sep 15:00,0.0,2.0,0.0,0.0,4.5,17647.0,233.0,3190.0,-2957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,Crystal Palace
5,17 Sep 20:00,2.0,2.0,1.0,0.0,4.5,15391.0,121.0,2635.0,-2514.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,Brighton
6,22 Sep 15:00,3.0,0.0,0.0,0.0,4.4,14075.0,50.0,1471.0,-1421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,Liverpool
7,29 Sep 15:00,2.0,0.0,0.0,0.0,4.4,13003.0,33.0,1168.0,-1135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,Wolves
8,07 Oct 14:15,0.0,3.0,1.0,0.0,4.4,12356.0,43.0,721.0,-678.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,Chelsea
9,20 Oct 15:00,0.0,0.0,0.0,6.0,4.3,11762.0,70.0,712.0,-642.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,7.8,0.5,0.0,0.8,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,29.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,82.0,Bournemouth
10,27 Oct 15:00,0.0,0.0,1.0,7.0,4.3,12087.0,476.0,310.0,166.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,26.6,11.1,42.0,8.0,0.0,0.0,0.0,8.0,5.0,1.0,0.0,0.0,38.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,98.0,Newcastle
