,kickoff_time_formatted,team_h_score,team_a_score,was_home,total_points,value,selected,transfers_in,transfers_out,transfers_balance,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,open_play_crosses,big_chances_created,clearances_blocks_interceptions,recoveries,key_passes,tackles,winning_goals,attempted_passes,completed_passes,penalties_conceded,big_chances_missed,errors_leading_to_goal,tackled,offside,target_missed,fouls,dribbles,fixture,opponent_team
1,18 Aug 15:00,3.0,1.0,0.0,0.0,4.5,20589.0,928.0,2208.0,-1280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Spurs
2,26 Aug 16:00,4.0,2.0,1.0,2.0,4.5,18118.0,427.0,3177.0,-2750.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.4,10.9,1.0,2.3,0.0,0.0,0.0,3.0,8.0,1.0,1.0,0.0,67.0,54.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,23.0,Burnley
3,01 Sep 15:00,2.0,2.0,0.0,2.0,4.5,17735.0,1049.0,1894.0,-845.0,90.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.3,1.0,0.6,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,65.0,57.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,31.0,Brighton
4,15 Sep 15:00,3.0,0.0,0.0,2.0,4.4,18449.0,2474.0,2257.0,217.0,90.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,15.6,1.9,2.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,42.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,Man City
5,22 Sep 12:30,1.0,1.0,1.0,1.0,4.4,20423.0,4005.0,2589.0,1416.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.4,1.3,0.0,0.8,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,35.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,Watford
6,29 Sep 15:00,3.0,0.0,0.0,0.0,4.4,20999.0,2105.0,1818.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,Everton
7,07 Oct 12:00,1.0,5.0,1.0,1.0,4.4,20258.0,720.0,1392.0,-672.0,28.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6,3.8,0.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,Arsenal
8,20 Oct 15:00,4.0,2.0,0.0,1.0,4.4,19306.0,531.0,1523.0,-992.0,90.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,7.4,12.4,3.0,2.3,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,53.0,43.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,83.0,Cardiff
9,27 Oct 15:00,0.0,3.0,1.0,-1.0,4.4,18619.0,325.0,1041.0,-716.0,72.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.4,25.2,0.0,2.9,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,41.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,94.0,Bournemouth
10,05 Nov 20:00,1.0,0.0,0.0,1.0,4.4,17372.0,183.0,1457.0,-1274.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.2,0.5,0.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,Huddersfield
